ID,NAME,GENERIC_NAME,COMPANY_NAME,SHORT_DESCRIPTION,PRICE,LONG_DESCRIPTION,IN_STOCK
420,Quetiapine Fumarate,Quetiapine Fumarate,"AvKARE, Inc.","Galeazzi's fx left rad, subs for opn fx type I/2 w nonunion",467,"Galeazzi's fracture of left radius, subsequent encounter for open fracture type I or II with nonunion",false
421,topcare nite time,"Dextromethorphan Hydrobromide, Doxylamine Succinate",Topco Associates LLC,"Other streptococcal arthritis, shoulder",186,"Other streptococcal arthritis, shoulder",false
422,Lansoprazole,Lansoprazole,REMEDYREPACK INC.,Varicose veins of lower extremities,198,Varicose veins of lower extremities,true
423,Progesterone,Progesterone,"Watson Laboratories, Inc.","Pnctr w foreign body of left thumb w damage to nail, subs",69,"Puncture wound with foreign body of left thumb with damage to nail, subsequent encounter",false
424,Repara,Lanolin,"PSS World Medical, Inc.","Insect bite (nonvenomous), left lower leg, subs encntr",577,"Insect bite (nonvenomous), left lower leg, subsequent encounter",false
425,Ephedrine Sulfate,Ephedrine Sulfate,West-ward Pharmaceutical Corp,"Unsp open wound of unspecified external genital organs, male",583,"Unspecified open wound of unspecified external genital organs, male",true
426,Vistaril,hydroxyzine pamoate,REMEDYREPACK INC.,"Typhoid fever, unspecified",335,"Typhoid fever, unspecified",false
427,Egrifta,tesamorelin,"EMD Serono, Inc.","Disp fx of med cuneiform of r foot, subs for fx w delay heal",27,"Displaced fracture of medial cuneiform of right foot, subsequent encounter for fracture with delayed healing",false
428,Quinapril,Quinapril,"Lupin Pharmaceuticals, Inc.","Nondisp subtrochnt fx l femr, 7thQ",112,"Nondisplaced subtrochanteric fracture of left femur, subsequent encounter for open fracture type I or II with malunion",false
429,Paroxetine,Paroxetine Hydrochloride,Teva Pharmaceuticals USA Inc,"Disp fx of unsp tibial tuberosity, 7thE",537,"Displaced fracture of unspecified tibial tuberosity, subsequent encounter for open fracture type I or II with routine healing",true
430,Icy Hot Medicated Roll Large,Menthol,"Chattem, Inc.",Calculus of kidney and ureter,19,Calculus of kidney and ureter,true
431,Warfarin Sodium,Warfarin Sodium,"Golden State Medical Supply, Inc.","Dislocation of proximal interphaln joint of l rng fngr, init",435,"Dislocation of proximal interphalangeal joint of left ring finger, initial encounter",true
432,WELLBUTRIN XL,bupropion hydrochloride,REMEDYREPACK INC.,"Unsp bus occupant injured in clsn w unsp mv nontraf, sequela",152,"Unspecified bus occupant injured in collision with unspecified motor vehicles in nontraffic accident, sequela",true
433,Rugby Aspirin,Aspirin,Rugby Laboratories,Presence of other orthopedic joint implants,456,Presence of other orthopedic joint implants,false
434,allergy,diphenhydramine HCl,Western Family Foods Inc,"Other specified disorders of cartilage, multiple sites",551,"Other specified disorders of cartilage, multiple sites",true
435,LBEL Couleur Luxe Rouge Amplifier XP amplifying SPF 15,Octinoxate and Oxybenzone,Ventura Corporation LTD,Unspecified disorder of iris and ciliary body,471,Unspecified disorder of iris and ciliary body,true
436,SUCRALFATE,Sucralfate,"Physicians Total Care, Inc.","Nondisp unsp condyle fx low end l femr, 7thR",115,"Nondisplaced unspecified condyle fracture of lower end of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",true
437,Severe Nighttime Severe Daytime,"acetaminophen, dextromethorphan HBr, doxylamine succinate, phenylephrine HCl",CVS Pharmacy,"Burn of third degree of left wrist, initial encounter",138,"Burn of third degree of left wrist, initial encounter",false
438,Anas Barbariae,Anas Barbariae,"Energique, Inc.",Rolando's fracture,261,Rolando's fracture,false
439,QUERCUS ALBA POLLEN,Wild Pollen Oat,"ALK-Abello, Inc.","Strain of muscle, fascia and tendon of left hip",60,"Strain of muscle, fascia and tendon of left hip",true
440,Prednisone,Prednisone,REMEDYREPACK INC.,Lacerat extensor musc/fasc/tend l idx fngr at wrs/hnd lv,455,"Laceration of extensor muscle, fascia and tendon of left index finger at wrist and hand level",true
441,Maracuja Miracle Foundation 12-Hour Foundation Broad Spectrum SPF 15 Sunscreen,"Avobenzone, Octinoxate, Octisalate, and Oxybenzone","Tarte, Inc","Displaced commnt fx left patella, init for opn fx type I/2",42,"Displaced comminuted fracture of left patella, initial encounter for open fracture type I or II",true
442,Aspirin,Aspirin,"Physicians Total Care, Inc.",Unspecified physeal fracture of right  metatarsal,314,Unspecified physeal fracture of right  metatarsal,true
443,Clindamycin Hydrochloride,Clindamycin Hydrochloride,"PD-Rx Pharmaceuticals, Inc.","Nondisp fx of lateral malleolus of unsp fibula, 7thD",582,"Nondisplaced fracture of lateral malleolus of unspecified fibula, subsequent encounter for closed fracture with routine healing",true
444,SAFEWAY,ETHYL ALCOHOL,SAFEWAY INC,Struck by dog,103,Struck by dog,false
445,Ceftazidime,Ceftazidime,"WG Critical Care, LLC","Assault by unspecified larger firearm discharge, subs encntr",362,"Assault by unspecified larger firearm discharge, subsequent encounter",true
446,Major Prep Hemorrhoidal,"hard fat, phenylephrine HCl",Major Pharmaceuticals,"Maternal care for oth fetal problems, third trimester, oth",384,"Maternal care for other specified fetal problems, third trimester, other fetus",true
447,ERY-TAB,erythromycin,Rebel Distributors Corp,"Underdosing of amphetamines, subsequent encounter",427,"Underdosing of amphetamines, subsequent encounter",true
448,"Pollens - Trees, Olive, Russian Elaeagnus angustifolia",Russian Olive Elaeagnus angustifolia,Jubilant HollisterStier LLC,Other hemoglobinopathies,35,Other hemoglobinopathies,false
449,Estradiol,Estradiol,Heritage Pharmaceuticals Inc,Disorders of optic chiasm in (due to) other disorders,519,Disorders of optic chiasm in (due to) other disorders,false
450,Misoprostol,Misoprostol,ReadyMeds,"Disp fx of post pro of right talus, subs for fx w routn heal",386,"Displaced fracture of posterior process of right talus, subsequent encounter for fracture with routine healing",true
451,CALMS NERVE TENSION SLEEPLESSNESS,"PASSIFLORA INCARNATA FLOWER, AVENA SATIVA LEAF, HOPS, and CHAMOMILE",Hyland's,Infect/inflm reaction due to int fix of left fibula,549,Infection and inflammatory reaction due to internal fixation device of left fibula,true
452,Carbamazepine,Carbamazepine,"Nostrum Laboratories, Inc.","Lacerat less saphenous at lower leg level, left leg, subs",195,"Laceration of lesser saphenous vein at lower leg level, left leg, subsequent encounter",true
453,Oral Gel,Benzocaine,Budpak Inc.,"Drowning and submersion due to fall off water-skis, sequela",550,"Drowning and submersion due to fall off water-skis, sequela",true
454,Conju Princess UV Sun Block,ETHYLHEXYL METHOXYCINNAMATE,Conju Inc,"Other calcification of muscle, multiple sites",183,"Other calcification of muscle, multiple sites",false
455,Head and Shoulders,Pyrithione Zinc,ALL NATURAL DYNAMICS,"Brown-Sequard synd at unsp level of thor spinal cord, init",232,"Brown-Sequard syndrome at unspecified level of thoracic spinal cord, initial encounter",false
456,Rolaids Regular Strength- Cherry,Calcium carbonate and Magnesium hydroxide,"Chattem, Inc.",Malignant neoplasm of unspecified choroid,162,Malignant neoplasm of unspecified choroid,false
457,Cetirizine Hydrochloride,Cetirizine Hydrochloride,"Taro Pharmaceuticals U.S.A., Inc.","Disp fx of lateral epicondyl of l humer, 7thK",106,"Displaced fracture (avulsion) of lateral epicondyle of left humerus, subsequent encounter for fracture with nonunion",true
458,Topcare fexofenadine hydrochloride,Fexofenadine HCl,Topco Associates LLC,"Subluxation of T7/T8 thoracic vertebra, initial encounter",9,"Subluxation of T7/T8 thoracic vertebra, initial encounter",false
459,Citalopram Hydrobromide,Citalopram Hydrobromide,Contract Pharmacy Services-PA,"Insect bite (nonvenomous) of unsp parts of thorax, sequela",531,"Insect bite (nonvenomous) of unspecified parts of thorax, sequela",true
460,PROMETHAZINE HYDROCHLORIDE,promethazine hydrochloride,"KVK-Tech, Inc.","Accidental malfunction of shotgun, sequela",348,"Accidental malfunction of shotgun, sequela",true
461,H-E-B Dead Sea Organics Protect and Perfect Day Broad Spectrum SPF15,"Avobenzone, Homosalate, Octisalate, Octocrylene",Emilia Personal Care Inc.,"Corrosion of first degree of left wrist, subs encntr",482,"Corrosion of first degree of left wrist, subsequent encounter",true
462,HAND SANITIZING,ALCOHOL,Sigan Industries,"Disp fx of distal phalanx of other finger, sequela",3,"Displaced fracture of distal phalanx of other finger, sequela",false
463,Primer,"Zinc Oxide, Calamine","Derma Sciences Canada, Inc.",Primary occlusal trauma,308,Primary occlusal trauma,true
464,Clarithromycin,Clarithromycin,Zydus Pharmaceuticals USA Inc,Struck by sea lion,149,Struck by sea lion,false
465,Soft Care Neutra Germ Fragrance Free Antibacterial,Triclosan,"Diversey, Inc.","Toxic effect of copper and its compounds, assault",501,"Toxic effect of copper and its compounds, assault",false
466,Miracle Worker SPF 55,"avobenzone, homosalate, octisalate, octocrylene and oxybenzone","Philosophy, Inc","Contus/lac right cerebrum w LOC of 30 minutes or less, subs",98,"Contusion and laceration of right cerebrum with loss of consciousness of 30 minutes or less, subsequent encounter",false
467,Risperidone,Risperidone,Torrent Pharmaceuticals Limited,Osteoporosis without current pathological fracture,505,Osteoporosis without current pathological fracture,true
468,clindamycin hydrochloride,clindamycin hydrochloride,Greenstone LLC,Subluxation and dislocation of C2/C3 cervical vertebrae,72,Subluxation and dislocation of C2/C3 cervical vertebrae,true
469,Up and Up anti diarrheal,Loperamide Hydrochloride,Target Corporation,"Toxic effect of venom of African and Asian snake, acc",478,"Toxic effect of venom of other African and Asian snake, accidental (unintentional)",false
470,Simvastatin,Simvastatin,"International Labs, Inc.","Minor laceration of left vertebral artery, initial encounter",600,"Minor laceration of left vertebral artery, initial encounter",false
471,Montelukast Sodium,Montelukast Sodium,Cardinal Health,"Laceration with foreign body, left thigh, subs encntr",417,"Laceration with foreign body, left thigh, subsequent encounter",false
472,ETHOSUXIMIDE,ETHOSUXIMIDE,"Pharmaceutical Associates, Inc.",Encounter for aftercare following other organ transplant,587,Encounter for aftercare following other organ transplant,true
473,Cymbalta,Duloxetine hydrochloride,St Marys Medical Park Pharmacy,"Disloc of l acromioclav jt, 100%-200% displacmnt, sequela",325,"Dislocation of left acromioclavicular joint, 100%-200% displacement, sequela",true
474,LBEL NATURAL FINISH MOISTURIZING FOUNDATION SPF 25,Octinoxate and Titanium Dioxide,Ventura Corporation LTD,"Assault by other hot objects, subsequent encounter",412,"Assault by other hot objects, subsequent encounter",false
475,Colgate Optic White Enamel White Luminous Mint,SODIUM MONOFLUOROPHOSPHATE,Mission Hills S.A de C.V,"Nondisp fx of mid 3rd of navic bone of l wrs, 7thB",344,"Nondisplaced fracture of middle third of navicular [scaphoid] bone of left wrist, initial encounter for open fracture",false
476,Potassium Chloride,POTASSIUM CHLORIDE,"Hospira, Inc.","Driver of bus injured in clsn w ped/anml nontraf, sequela",88,"Driver of bus injured in collision with pedestrian or animal in nontraffic accident, sequela",false
477,wal itin d,"Pseudoephedrine sulfate, Loratadine",Walgreen Company,"Colles' fracture of left radius, init for clos fx",489,"Colles' fracture of left radius, initial encounter for closed fracture",true
478,Amoxicillin,Amoxicillin,DAVA Pharmaceuticals Inc,Kernicterus due to isoimmunization,46,Kernicterus due to isoimmunization,false
479,Demerol,Meperidine Hydrochloride,sanofi-aventis U.S. LLC,"Chondromalacia, left wrist",112,"Chondromalacia, left wrist",true
480,Allergy Relief,Cetirizine Hydrochloride,CVS Pharmacy,Abrasion of other part of head,65,Abrasion of other part of head,false
481,Ribavirin,RIBAVIRIN,State of Florida DOH Central Pharmacy,"Paralytic lagophthalmos left eye, unspecified eyelid",298,"Paralytic lagophthalmos left eye, unspecified eyelid",true
482,Levoxyl,levothyroxine sodium,Cardinal Health,"Nondisp osteochon fx left patella, init for opn fx type I/2",494,"Nondisplaced osteochondral fracture of left patella, initial encounter for open fracture type I or II",true
483,Soliris,eculizumab,Alexion Pharmaceuticals Inc.,"Fall from in-line roller-skates, initial encounter",435,"Fall from in-line roller-skates, initial encounter",true
484,Carvedilol,Carvedilol,State of Florida DOH Central Pharmacy,Other localized visual field defect,542,Other localized visual field defect,true
485,My Little Pony Grape Antiseptic Hand Cleansing,ALCOHOL,"Ningbo Pulisi Daily Chemical Products Co., Ltd.",Unspecified Zone III fracture of sacrum,183,Unspecified Zone III fracture of sacrum,true
486,Standardized Mite Dermatophagoides pteronyssinus,Standardized Mite Dermatophagoides pteronyssinus,"Nelco Laboratories, Inc.",Low risk HPV DNA test positive from female genital organs,454,Low risk human papillomavirus (HPV) DNA test positive from female genital organs,true
487,HYDROCORTISONE,HYDROCORTISONE,E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,"Inj oth blood vessels at hip and thi lev, right leg, subs",132,"Other specified injury of other blood vessels at hip and thigh level, right leg, subsequent encounter",true
488,Galantamine,Galantamine,Aurobindo Pharma Limited,"Myositis ossificans progressiva, multiple sites",115,"Myositis ossificans progressiva, multiple sites",true
489,Ready Foundation,Titanium Dioxide and Zinc Oxide,Bare Escentuals Beauty Inc.,"Unsp pedl cyclst injured in clsn w ped/anml nontraf, subs",409,"Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",true
490,Risperidone,risperidone,Mylan Institutional Inc.,Tuberculosis of lung,25,Tuberculosis of lung,false
491,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,Cardinal Health,"Ankylosis, right wrist",469,"Ankylosis, right wrist",true
492,risperidone,risperidone,American Health Packaging,Lymphoblastic (diffuse) lymphoma,231,Lymphoblastic (diffuse) lymphoma,false
493,esika,OCTINOXATE and Oxybenzone,Ventura Corporation LTD.,Puerperal psychosis,139,Puerperal psychosis,true
494,Best Choice Nighttime Severe Cold and Cough,"Acetaminophen, Diphenhydramine HCl and Phenylephrine HCL",Quality Home Products,"Burn of third degree of left knee, initial encounter",36,"Burn of third degree of left knee, initial encounter",true
495,BackAid,"acetaminophen, aspirin, caffeine","Alva-Amco Pharmacal Companies, Inc.","Displ unsp condyle fx low end l femr, 7thK",405,"Displaced unspecified condyle fracture of lower end of left femur, subsequent encounter for closed fracture with nonunion",false
496,Diltiazem Hydrochloride,Diltiazem Hydrochloride,Actavis Elizabeth LLC,"Contusion of ascending [right] colon, initial encounter",70,"Contusion of ascending [right] colon, initial encounter",false
497,Z-COF,"PSEUDOEPHEDRINE HYDROCHLORIDE, GUAIFENESIN, and DEXTROMETHORPHAN HYDROBROMIDE",Pernix Therapeutics,Hemorrhage of right orbit,72,Hemorrhage of right orbit,true
498,Childrens Acetaminophen Cherry,Childrens Tylenol,Good Neighbor Pharmacy,"Displaced intraarticular fracture of unsp calcaneus, sequela",224,"Displaced intraarticular fracture of unspecified calcaneus, sequela",true
499,WHITE FLOWER ANALGESIC BALM,"CAMPHOR, MENTHOL AND METHYL SALICYLATE",HOE HIN PAK FAH YEOW MANUFACTORY LTD,"Age-rel osteopor w crnt path fx, unsp humer, 7thD",542,"Age-related osteoporosis with current pathological fracture, unspecified humerus, subsequent encounter for fracture with routine healing",false
500,Hectorol,DOXERCALCIFEROL,Genzyme Corporation,Secondary malignant neoplasm of ovary,349,Secondary malignant neoplasm of ovary,true
